"submit","ввод"
"read","читать"
"HOME","ГЛАВНАЯ"
"Home","Главная"
"FILMS","ФИЛЬМЫ"
"RATING","РЕЙТИНГ"
"CONTACTS","КОНТАКТЫ"
"PERSONAL OFFICE","КАБИНЕТ"
"Films","Фильмы"
"Serials","Сериалы"
"New Films","Новые фильмы"
"New Serials","Новые сериалы"
"CineMonster","КиноМонстр"
"Cinema - our passion!","Кино - наша страсть!"
"query","запрос"
"Search","Поиск"
"Portal news","Новости портала"
"We start new service","Мы запустили новый сервис"
"read more","читать"
"New advanced search features are connected","Подключены новые возможности расширенного поиска"
"Rating of films","Рейтинг фильмов"
"Rating of serials","Рейтинг сериалов"
"How Interstellar was filmed","Как снимали Интерстеллар"
"Actor Tom Henks shared his impression of the festival","Актер Том Хенкс поделился впечатлением о фестивале"
"details","подробнее"
"Cinema news","Новости кино"
"Reviews","Отзывы о фильме"
"Description","Описание"
"Year","Год"
"Rating","Рейтинг"
"Directed by","Режисер"
"Leave your feedback","Оставьте Ваш отзыв о фильме"
"Leave_a_comment_can_only_registered_users","Комментировать_могут_только_зарегистрированные_пользователи"
"SUCCESS","УСПЕХ"
"Hi","Здравствуйте"
"ERROR","ОШИБКА"
"Wrong login or password","Неправильный логин или пароль"
"Log in","Войти"
"login","логин"
"password","пароль"
"Log out","Выйти"
"Close","Закрыть"
"Switch to Russian","Перекдючить на русский"
"Exit the site","Покинуть сайт"
"submit","отправить"
"Login with password","Войти по паролю"
"Login via twitter","Войти через twitter"
"Login via facebook","Войти через facebook"
"You are authorized by Twitter","Вы авторизованы Twitter"
"You are authorized by Facebook","Вы авторизованы Facebook"
"Film","Фильм"
"Serial","Сериал"
"Ask us a question or leave feedback about the site","Задайте нам вопрос или оставьте отзыв о сайте"
"Our contacts","Наши контакты"
"Contact us and we will reply you within 24 hours","Свяжитесь с нами и мы ответим Вам в течение 24 часов"
"Technical support works 24/7","Техподдержка работает 24/7"
"Name","Имя"
"Our location","Наше местоположение"
"Contacts","Контакты"
"Sign Up","Регистрация"
"Customer references","Обращения клиентов"
"Technical support","Техподдержка 24/7"
"Check in","Регистрация"
"The passwords you entered do not match","Введенные пароли не совпадают"
"A user with such login or e-mail already exists","Пользователь с таким логином или e-mail уже существует"
"A confirmation letter has been sent to your e-mail address","На Ваш электронный адрес направлено письмо для подтверждения регистрации"
"confirm_password","подтвердите_пароль"
"sign up me","зарегистрировать"
"Enter your registration information","Введите Ваши регистрационные данные"
"View","Просмотр"
"Articles","Статьи"
"Films rating","Рейтинг фильмов"
"Serials rating","Рейтинг сериалов"
"Search results","Результаты поиска"
"Chunk","Фрагмент"
"Data was sent to the server","Данные были отправлены на сервер"
"search","поиск"
